epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4269.09,0.99467,0.512,0.00262,0.8933,0.79158,0.8795,0.62166,0.86699,0.43871,0.0046,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4400.38,0.98917,0.50585,0.0026,0.89744,0.81192,0.88735,0.62019,0.85727,0.45572,0.00449,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4531.82,0.98659,0.50337,0.00256,0.87275,0.80784,0.88292,0.6306,0.84232,0.43635,0.00449,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4663.27,0.96656,0.48987,0.00255,0.87902,0.80116,0.88495,0.6258,0.83982,0.43638,0.00445,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4794.52,0.96177,0.48208,0.0025,0.85484,0.81694,0.88652,0.6266,0.84644,0.43166,0.00448,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4925.89,0.96138,0.48718,0.0025,0.89319,0.80607,0.89347,0.63168,0.84416,0.42966,0.00446,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5057.21,0.95516,0.48167,0.00246,0.91101,0.80426,0.8909,0.63967,0.81761,0.42103,0.00432,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5189.45,0.94599,0.47206,0.00247,0.89235,0.8261,0.89516,0.64252,0.82016,0.41037,0.00433,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5321.69,0.93703,0.46344,0.00245,0.89654,0.82413,0.89791,0.64607,0.81662,0.41088,0.0043,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5454.08,0.93949,0.46744,0.00241,0.87142,0.81818,0.89126,0.64211,0.80491,0.41196,0.00424,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5585.3,0.92716,0.45748,0.00237,0.91755,0.80396,0.90001,0.6524,0.80694,0.40955,0.00426,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5716.24,0.925,0.45415,0.00239,0.90709,0.80359,0.89778,0.65763,0.79218,0.38607,0.00417,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5847.24,0.92122,0.4536,0.00234,0.87921,0.82725,0.89726,0.65116,0.80013,0.39661,0.0042,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5977.97,0.90734,0.44312,0.00234,0.91144,0.80433,0.89594,0.65466,0.78985,0.39209,0.00417,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6109.19,0.90536,0.44487,0.00232,0.89877,0.81137,0.89291,0.65404,0.79403,0.39222,0.00417,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6240.24,0.90382,0.44498,0.00226,0.89596,0.83046,0.90694,0.65757,0.78897,0.38808,0.00409,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6372.12,0.89382,0.43753,0.00226,0.90642,0.80848,0.8972,0.65484,0.78332,0.38665,0.00409,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6504.63,0.88744,0.43152,0.00225,0.91271,0.81329,0.89858,0.65951,0.77112,0.38015,0.00403,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6637.23,0.87931,0.42171,0.00222,0.89519,0.82094,0.90319,0.66046,0.77865,0.38579,0.00406,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6770.33,0.87563,0.42341,0.00222,0.91269,0.81333,0.90382,0.666,0.76052,0.38034,0.00393,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6902.19,0.87415,0.42583,0.00221,0.90566,0.82376,0.90861,0.66754,0.76931,0.38265,0.00399,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7033.23,0.86583,0.41911,0.0022,0.90174,0.83344,0.90659,0.66614,0.7735,0.37553,0.00396,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7164.55,0.85604,0.40956,0.00213,0.90969,0.82443,0.9077,0.67252,0.75604,0.37075,0.0039,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7295.9,0.85343,0.40935,0.00213,0.89661,0.83028,0.90197,0.67139,0.74954,0.37392,0.00387,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7426.9,0.84882,0.41257,0.00215,0.88937,0.84463,0.90902,0.67233,0.75101,0.37276,0.00388,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7557.93,0.83755,0.40712,0.00212,0.91602,0.83354,0.91173,0.67961,0.74329,0.37253,0.00383,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7688.84,0.83641,0.39915,0.00208,0.89654,0.84042,0.90586,0.67617,0.74527,0.37452,0.00384,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7821.91,0.83142,0.39695,0.00207,0.91005,0.83201,0.91018,0.67804,0.74543,0.3612,0.00385,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7954.38,0.82357,0.3916,0.00205,0.91954,0.83272,0.9103,0.67932,0.74088,0.36478,0.00384,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8085.77,0.81613,0.38733,0.00204,0.92214,0.8251,0.91269,0.67604,0.73568,0.36402,0.00382,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8216.87,0.82241,0.39237,0.00202,0.89359,0.8495,0.91513,0.6792,0.73729,0.36383,0.00382,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8348.06,0.80554,0.38111,0.00201,0.90409,0.84024,0.91327,0.68068,0.73024,0.36207,0.00378,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8478.92,0.80704,0.38223,0.00198,0.89447,0.84869,0.91776,0.68328,0.73111,0.352,0.00379,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8609.81,0.7996,0.37372,0.00196,0.92618,0.82956,0.91773,0.68669,0.72688,0.35544,0.00376,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8740.83,0.79947,0.38192,0.00195,0.90969,0.85017,0.91973,0.68706,0.7264,0.35756,0.00373,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
